Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Application method (product.metafields.shopify.application-method),Bug type (product.metafields.shopify.bug-type),Chocolate type (product.metafields.shopify.chocolate-type),Color (product.metafields.shopify.color-pattern),Country (product.metafields.shopify.country),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary use (product.metafields.shopify.dietary-use),Dispenser type (product.metafields.shopify.dispenser-type),Flavor (product.metafields.shopify.flavor),Flour/Grain type (product.metafields.shopify.flour-grain-type),Food product form (product.metafields.shopify.food-product-form),Ingredient category (product.metafields.shopify.ingredient-category),Ingredients (product.metafields.shopify.ingredients),Lubricant application (product.metafields.shopify.lubricant-application),Material (product.metafields.shopify.material),Pasta type (product.metafields.shopify.pasta-type),Pet supply product form (product.metafields.shopify.pet-supply-product-form),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Tea input type (product.metafields.shopify.tea-input-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,image_url_go_upc,image_url_barcode_lookup
8.58E+11,"HYALOGIC *   HylaMints for Dry Mouth, 60s","<p>HYALOGIC *   HylaMints for Dry Mouth, 60s</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,10950030-60,3269,shopify,continue,manual,17.16,20.59,TRUE,TRUE,'858259000735,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,12.9,active,,
8.58E+11,"HYALOGIC *   HylaMist™ Dry Nose, 44ml","<p>HYALOGIC *   HylaMist™ Dry Nose, 44ml</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,10950020-44,3269,shopify,continue,manual,11.4,13.68,TRUE,TRUE,'858259000278,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,8.58,active,,
8.57E+11,"HYALOGIC *   Advanced Formula Hair, Skin & Nail, 354ml","<p>HYALOGIC *   Advanced Formula Hair, Skin &amp; Nail, 354ml</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,10940040-354,3269,shopify,continue,manual,43.16,51.79,TRUE,TRUE,'856682008601,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,33.45,active,,
8.57E+11,"HYALOGIC *   Advanced Formula Joints, 354ml","<p>HYALOGIC *   Advanced Formula Joints, 354ml</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,10940050-354,3269,shopify,continue,manual,43.16,51.79,TRUE,TRUE,'856682008458,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,33.45,active,,
8.54E+11,"LIFE CHOICE   ""Detox Kit(CLAW Therapy with EDTA,180's + Opti Ca","<p>LIFE CHOICE   ""Detox Kit(CLAW Therapy with EDTA,180's + Opti Ca</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,10755227-1,3269,shopify,continue,manual,167.98,201.58,TRUE,TRUE,'853589005108,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,104.99,active,,
8.53E+11,"LIFE CHOICE   Boron w/Curcumin, 60vcaps","<p>LIFE CHOICE   Boron w/Curcumin, 60vcaps</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,10755223-60,3269,shopify,continue,manual,18.4,22.08,TRUE,TRUE,'853378002561,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,11.5,active,,
8.50E+11,MATRIX AROMATHERAPY   Auto Fresh Peace (SS),<p>MATRIX AROMATHERAPY   Auto Fresh Peace (SS)</p>,EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,18540303-1,3269,shopify,continue,manual,32.64,39.17,TRUE,TRUE,'850425008484,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,20.4,active,,
8.34E+11,"GENBIOCHEM® PROCLINIC   ProClinic Immunity, 60caps","<p>GENBIOCHEM® PROCLINIC   ProClinic Immunity, 60caps</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,22483123-60,3269,shopify,continue,manual,43.87,52.65,TRUE,TRUE,'833853001272,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,27.42,active,,
8.30E+11,"PUR   Mints-Cinnamon,30ct,12/tray","<p>PUR   Mints-Cinnamon,30ct,12/tray</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12140050-12,3269,shopify,continue,manual,37.1,44.52,TRUE,TRUE,'830028009101,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,23.19,active,,
8.30E+11,"PUR   Mints-Polar Mint,30ct,12/tray","<p>PUR   Mints-Polar Mint,30ct,12/tray</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12140040-12,3269,shopify,continue,manual,37.1,44.52,TRUE,TRUE,'830028009088,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,23.19,active,,
